,Name,Price,Images,Rating,Links
10,"APPLE iPhone 12 (Blue, 256 GB)","₹68,999",https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/y/7/n/apple-iphone-12-dummyapplefsn-original-imafwg8dqq7z8cgh.jpeg?q=70,4.6,https://www.flipkart.com//apple-iphone-12-blue-256-gb/p/itm3be487cd1dea5?pid=MOBFWBYZKYYZUANT&lid=LSTMOBFWBYZKYYZUANT0DVCKS&marketplace=FLIPKART&q=iphone+12&store=tyy%2F4io&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=db9d6cbf-ab5c-4bb7-b720-f02d96bf50fa.MOBFWBYZKYYZUANT.SEARCH&ppt=None&ppn=None&ssid=nj2z0pu5280000001655951019748&qH=7b7504afcaf2e1ea
11,"APPLE iPhone 12 (White, 256 GB)","₹68,999",https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/j/f/9/apple-iphone-12-dummyapplefsn-original-imafwg8dhe5aeyhk.jpeg?q=70,4.6,https://www.flipkart.com//apple-iphone-12-white-256-gb/p/itmcfbcb621e6326?pid=MOBFWBYZMNGZVMJE&lid=LSTMOBFWBYZMNGZVMJEAEBPN8&marketplace=FLIPKART&q=iphone+12&store=tyy%2F4io&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=db9d6cbf-ab5c-4bb7-b720-f02d96bf50fa.MOBFWBYZMNGZVMJE.SEARCH&ppt=None&ppn=None&ssid=nj2z0pu5280000001655951019748&qH=7b7504afcaf2e1ea
12,"APPLE iPhone 11 (Black, 128 GB)","₹44,999",https://rukminim1.flixcart.com/image/312/312/kgiaykw0/mobile/5/x/8/apple-iphone-11-mhdh3hn-a-original-imafwqepcdfxrmhn.jpeg?q=70,4.6,https://www.flipkart.com//apple-iphone-11-black-128-gb/p/itm8244e8d955aba?pid=MOBFWQ6BKRYBP5X8&lid=LSTMOBFWQ6BKRYBP5X8X0KYUG&marketplace=FLIPKART&q=iphone+12&store=tyy%2F4io&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=db9d6cbf-ab5c-4bb7-b720-f02d96bf50fa.MOBFWQ6BKRYBP5X8.SEARCH&ppt=None&ppn=None&ssid=nj2z0pu5280000001655951019748&qH=7b7504afcaf2e1ea
13,"APPLE iPhone 12 (Black, 256 GB)","₹68,999",https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/r/h/z/apple-iphone-12-dummyapplefsn-original-imafwg8dqgncgbcb.jpeg?q=70,4.6,https://www.flipkart.com//apple-iphone-12-black-256-gb/p/itm68421fa1c1121?pid=MOBFWBYZ7CR9FRHZ&lid=LSTMOBFWBYZ7CR9FRHZSXDBSR&marketplace=FLIPKART&q=iphone+12&store=tyy%2F4io&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=db9d6cbf-ab5c-4bb7-b720-f02d96bf50fa.MOBFWBYZ7CR9FRHZ.SEARCH&ppt=None&ppn=None&ssid=nj2z0pu5280000001655951019748&qH=7b7504afcaf2e1ea
14,"APPLE iPhone 12 (Green, 64 GB)","₹53,999",https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/p/f/w/apple-iphone-12-dummyapplefsn-original-imafwg8dqjuq8sug.jpeg?q=70,4.6,https://www.flipkart.com//apple-iphone-12-green-64-gb/p/itmc8a19a9686173?pid=MOBFWBYZKK3EJPFW&lid=LSTMOBFWBYZKK3EJPFWHTKEDW&marketplace=FLIPKART&q=iphone+12&store=tyy%2F4io&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=db9d6cbf-ab5c-4bb7-b720-f02d96bf50fa.MOBFWBYZKK3EJPFW.SEARCH&ppt=None&ppn=None&ssid=nj2z0pu5280000001655951019748&qH=7b7504afcaf2e1ea
15,"APPLE iPhone 12 (Red, 256 GB)","₹68,999",https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/q/8/f/apple-iphone-12-dummyapplefsn-original-imafwg8drqaam5vu.jpeg?q=70,4.6,https://www.flipkart.com//apple-iphone-12-red-256-gb/p/itm16f42310fe29a?pid=MOBFWBYZEBH6SAFP&lid=LSTMOBFWBYZEBH6SAFPS1GZIY&marketplace=FLIPKART&q=iphone+12&store=tyy%2F4io&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=db9d6cbf-ab5c-4bb7-b720-f02d96bf50fa.MOBFWBYZEBH6SAFP.SEARCH&ppt=None&ppn=None&ssid=nj2z0pu5280000001655951019748&qH=7b7504afcaf2e1ea
16,"APPLE iPhone 12 (Green, 128 GB)","₹58,999",https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/p/f/w/apple-iphone-12-dummyapplefsn-original-imafwg8dqjuq8sug.jpeg?q=70,4.6,https://www.flipkart.com//apple-iphone-12-green-128-gb/p/itm4e0a120f7d9c4?pid=MOBFWBYZQXUEHF48&lid=LSTMOBFWBYZQXUEHF484WD4A9&marketplace=FLIPKART&q=iphone+12&store=tyy%2F4io&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=db9d6cbf-ab5c-4bb7-b720-f02d96bf50fa.MOBFWBYZQXUEHF48.SEARCH&ppt=None&ppn=None&ssid=nj2z0pu5280000001655951019748&qH=7b7504afcaf2e1ea
17,"APPLE iPhone 12 (Green, 256 GB)","₹68,999",https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/p/f/w/apple-iphone-12-dummyapplefsn-original-imafwg8dqjuq8sug.jpeg?q=70,4.6,https://www.flipkart.com//apple-iphone-12-green-256-gb/p/itm6d126e7980774?pid=MOBFWBYZZPFJYYEY&lid=LSTMOBFWBYZZPFJYYEYIUA7H8&marketplace=FLIPKART&q=iphone+12&store=tyy%2F4io&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=db9d6cbf-ab5c-4bb7-b720-f02d96bf50fa.MOBFWBYZZPFJYYEY.SEARCH&ppt=None&ppn=None&ssid=nj2z0pu5280000001655951019748&qH=7b7504afcaf2e1ea
18,"APPLE iPhone 12 (Purple, 256 GB)","₹68,999",https://rukminim1.flixcart.com/image/312/312/ko0d6kw0/mobile/6/h/y/iphone-12-mjnm3hn-a-apple-original-imag2k2v6ehvnzfd.jpeg?q=70,4.6,https://www.flipkart.com//apple-iphone-12-purple-256-gb/p/itmfce36e1443299?pid=MOBG2EPZ6TFVH4YN&lid=LSTMOBG2EPZ6TFVH4YN2KBVUQ&marketplace=FLIPKART&q=iphone+12&store=tyy%2F4io&srno=s_1_19&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=db9d6cbf-ab5c-4bb7-b720-f02d96bf50fa.MOBG2EPZ6TFVH4YN.SEARCH&ppt=None&ppn=None&ssid=nj2z0pu5280000001655951019748&qH=7b7504afcaf2e1ea
19,"APPLE iPhone 12 Mini (Red, 64 GB)","₹49,999",https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/n/2/u/apple-iphone-12-mini-dummyapplefsn-original-imafwgbf4pvjhypq.jpeg?q=70,4.5,https://www.flipkart.com//apple-iphone-12-mini-red-64-gb/p/itm255dd64643767?pid=MOBFWBYZNVWGWN2U&lid=LSTMOBFWBYZNVWGWN2U8SJXEG&marketplace=FLIPKART&q=iphone+12&store=tyy%2F4io&srno=s_1_20&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=db9d6cbf-ab5c-4bb7-b720-f02d96bf50fa.MOBFWBYZNVWGWN2U.SEARCH&ppt=None&ppn=None&ssid=nj2z0pu5280000001655951019748&qH=7b7504afcaf2e1ea
20,"APPLE iPhone 12 Mini (Black, 64 GB)","₹49,999",https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/n/p/d/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfwyzztfnh.jpeg?q=70,4.5,https://www.flipkart.com//apple-iphone-12-mini-black-64-gb/p/itm38b727191eb08?pid=MOBFWBYZXSEGBS6F&lid=LSTMOBFWBYZXSEGBS6FQYW5LO&marketplace=FLIPKART&q=iphone+12&store=tyy%2F4io&srno=s_1_21&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=db9d6cbf-ab5c-4bb7-b720-f02d96bf50fa.MOBFWBYZXSEGBS6F.SEARCH&ppt=None&ppn=None&ssid=nj2z0pu5280000001655951019748&qH=7b7504afcaf2e1ea
21,"APPLE iPhone 12 Pro (Gold, 512 GB)","₹1,39,900",https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/s/9/w/apple-iphone-12-pro-dummyapplefsn-original-imafwgbr37gm57f7.jpeg?q=70,4.6,https://www.flipkart.com//apple-iphone-12-pro-gold-512-gb/p/itm157b3be191fd1?pid=MOBFWBYZGKFYVTWH&lid=LSTMOBFWBYZGKFYVTWH2QAHKV&marketplace=FLIPKART&q=iphone+12&store=tyy%2F4io&srno=s_1_22&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=db9d6cbf-ab5c-4bb7-b720-f02d96bf50fa.MOBFWBYZGKFYVTWH.SEARCH&ppt=None&ppn=None&ssid=nj2z0pu5280000001655951019748&qH=7b7504afcaf2e1ea
22,"APPLE iPhone 12 Mini (Blue, 256 GB)","₹64,999",https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/r/2/r/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfcswp9fh5.jpeg?q=70,4.5,https://www.flipkart.com//apple-iphone-12-mini-blue-256-gb/p/itmc642fc932a70c?pid=MOBFWBYZEWKFTSHF&lid=LSTMOBFWBYZEWKFTSHF95VDYY&marketplace=FLIPKART&q=iphone+12&store=tyy%2F4io&srno=s_1_23&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=db9d6cbf-ab5c-4bb7-b720-f02d96bf50fa.MOBFWBYZEWKFTSHF.SEARCH&ppt=None&ppn=None&ssid=nj2z0pu5280000001655951019748&qH=7b7504afcaf2e1ea
23,"APPLE iPhone 12 Mini (Purple, 256 GB)","₹64,999",https://rukminim1.flixcart.com/image/312/312/ko0d6kw0/mobile/d/h/5/iphone-12-mini-mjqh3hn-a-apple-original-imag2k2xuuyfyusd.jpeg?q=70,4.5,https://www.flipkart.com//apple-iphone-12-mini-purple-256-gb/p/itm3d825d9ed56e1?pid=MOBG2EPZBPRTG48Z&lid=LSTMOBG2EPZBPRTG48ZPNKNXM&marketplace=FLIPKART&q=iphone+12&store=tyy%2F4io&srno=s_1_24&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_na&fm=organic&iid=db9d6cbf-ab5c-4bb7-b720-f02d96bf50fa.MOBG2EPZBPRTG48Z.SEARCH&ppt=None&ppn=None&ssid=nj2z0pu5280000001655951019748&qH=7b7504afcaf2e1ea
